,Store,Product Name,Product Number,Currency,Price,Brand Name,Product URL,Product Picture URL
27,DM,"Overall mit Ringeln & Knöpfen, gelb & beige, Gr...., 1 St",4066447563603,Eur,"10,90 ",ALANA,https://www.dm.de/alana-overall-mit-ringeln-und-knoepfen-gelb-und-beige-gr-68-p4066447563603.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716791702/products/pim/FS24K00129_vorne/alana-overall-mit-ringeln-und-knoepfen-gelb-und-beige-gr-68"
28,DM,"CC Creme Skin Tint Dark, 26 ml",5057566628679,Eur,"6,25 ",REVOLUTION MAN,https://www.dm.de/revolution-man-cc-creme-skin-tint-dark-p5057566628679.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1699451314/products/pim/5057566628679-3987737/revolution-man-cc-creme-skin-tint-dark"
29,DM,"Holzpilz, Samt beglittert, beige, 1 St",4255572200945,Eur,"2,75 ",Dekorieren & Einrichten,https://www.dm.de/dekorieren-und-einrichten-holzpilz-samt-beglittert-beige-p4255572200945.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1699433759/products/pim/4255572200945-3472782/dekorieren-und-einrichten-holzpilz-samt-beglittert-beige"
30,DM,"Body Langarm mit Libellen-Muster, rosa, Gr. 98/104, 1 St",4066447597493,Eur,"4,90 ",ALANA,https://www.dm.de/alana-body-langarm-mit-libellen-muster-rosa-gr-98-104-p4066447597493.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716791702/products/pim/FS24W00020_vorne/alana-body-langarm-mit-libellen-muster-rosa-gr-98-104"
31,DM,"Jacke aus Strick mit Kapuze, braun, Gr. 62, 1 St",4066447563030,Eur,"10,90 ",ALANA,https://www.dm.de/alana-jacke-aus-strick-mit-kapuze-braun-gr-62-p4066447563030.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716791702/products/pim/FS24K00015_VS/alana-jacke-aus-strick-mit-kapuze-braun-gr-62"
32,DM,"Baby Knotenkleid, Gr. 50/56, aus Bio-Baumwolle,..., 1 St",4066447284379,Eur,"8,90 ",ALANA,https://www.dm.de/alana-baby-knotenkleid-gr-50-56-aus-bio-baumwolle-beige-p4066447284379.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716447969/products/pim/936278_vorne/alana-baby-knotenkleid-gr-50-56-aus-bio-baumwolle-beige"
33,DM,"Primer Blur Skin, 17 ml",5057566628624,Eur,"3,95 ",REVOLUTION MAN,https://www.dm.de/revolution-man-primer-blur-skin-p5057566628624.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1699451311/products/pim/5057566628624-3987732/revolution-man-primer-blur-skin"
34,DM,"Windlicht aus Glas, beige (14x14x21 cm), 1 St",4047096944333,Eur,"9,95 ",Dekorieren & Einrichten,https://www.dm.de/dekorieren-und-einrichten-windlicht-aus-glas-beige-14x14x21-cm-p4047096944333.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1714496595/products/pim/4047096944333-1572626599/dekorieren-und-einrichten-windlicht-aus-glas-beige-14x14x21-cm"
35,DM,"Bronzer Puder Dark, 10 g",5057566628792,Eur,"3,95 ",REVOLUTION MAN,https://www.dm.de/revolution-man-bronzer-puder-dark-p5057566628792.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1699451235/products/pim/5057566628792-3987637/revolution-man-bronzer-puder-dark"
36,DM,"Concealer Stick Tan, 3,2 g",5057566628730,Eur,"4,95 ",REVOLUTION MAN,https://www.dm.de/revolution-man-concealer-stick-tan-p5057566628730.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1699451287/products/pim/5057566628730-3987748/revolution-man-concealer-stick-tan"
